
ID;Name
3916-1;Konstanz Döbeleplatz
2786-1;Leipzig Airport, Zentralterminal, unter Check-in Bereich
2785-1;Leipzig, Goethestrasse (Hbf.)
3912-1;Lubeck Hbf.
2787-1;Ludwigsdorf PKP
2788-1;Magdeburg,  ZOB
2789-1;Mainz
2790-1;Mannheim ZOB , H. von Stefan Str.
2791-1;Munchen, P+R Frottmaning
3792-1;Munchen, ZOB Hackerbruecke 4
2793-1;Munster, bus stop "Hafenstrasse", Friedrich-Ebert-Straße 1
2794-1;Nurnberg ZOB,Bahnhofsstraße
2795-1;Osnabruck Hbf., Eisenbahnstrasse
3798-1;Regensburg
2796-1;Remich PKP
2797-1;Rostock, Dierkower Kreuz ,  Hst. H
2798-1;Rudolphstein
2999-1;Rudolphstein, BAB-Rastst. Frankenwald
3000-1;Saarbrucken
3001-1;Saarlouis
3002-1;Stuttgart Airport Busterminal SAB
3003-1;Ulm
3004-1;Waidhaus PKP
3005-1;Weimar, Hbf. Hlst. 8
3914-1;Wurzburg Hbf. (Bismarckstr.)
2600-1;Aabenraa
2602-1;Aarhus, bus station
2603-1;Copenhagen, Ingerslevsgade
2604-1;Flensburg
2605-1;Gedser (DK)
2607-1;Kolding, bus station
2608-1;Nykobing/Falster
2609-1;Skanderborg
2611-1;Vejle, bus station
2612-1;Ikla PKP
2613-1;Iklon muitinė
9990-1;Narva
2614-1;Parnu
2615-1;Tallinn (bus station)
2617-1;Tallinn Port D terminal
2616-1;Tallinn Port terminal A
2618-1;Madrid
2698-1;Calais PKP
2699-1;Lille, bld.de Turin, Suite Novotel
3809-1;Marseille, gare routiere St. Charles, rue Honnorat
2700-1;Metz
3807-1;Nice, 2 av. Felix Faure (ancienne gare routiere)
6002-1;Paris (gare du Nord)
2701-1;Paris, gare Eurolines Gallieni
2702-1;Reims
2703-1;Strasbourg
2704-1;Strasbourg PKP
3808-1;Toulon, gare routiere, Boulevard de Tesse
2747-1;Budapest
6015-1;Budapest, bus stop Kelenföld
2748-1;Hegyeshalom (HU), PKP
2749-1;Roszke PKP
2619-1;Ancona
2620-1;Bologna, autostazione, Piazza XX settembre
2621-1;Bolzano, autostazione, via Perathoner 4
2622-1;Brenero PKP
2623-1;Brescia, autostazione CIBA, via Solferino
2625-1;Firenze
2624-1;Firenze, SITA bus station
3806-1;Genova - Voltri, via Voltri (Agip)
2626-1;Mestre (Venezia), viale Stazione 1
2511-1;Milano, autostazione Lampugnano, via Giulio Natta
2627-1;Padova, autostazione
2628-1;Pesaro
2629-1;Pescara
2630-1;Rimini
2631-1;Roma, Tiburtina bus station
2632-1;Tarvisio PKP
2633-1;Trento, bus station, Lungadige Monte Grappa
3797-1;Udine, autostazione, v. le Europa Unita
2634-1;Verona, autostazione Porta Nuova
4536-1;"Laisvė"
4520-1;"Luokava"
4527-1;Agluonai
1680-1;Akmenė
4506-1;Akmenė III
1679-1;Akmenės SMK
1676-1;Alkiškiai
4516-1;Balsiai
4551-1;Baubliai
1678-1;Dabikinė
4535-1;Dabikinėlė
4565-1;Dargaičiai
4567-1;Daujočiai
4548-1;Deguliai
4544-1;Dovydžiai
4553-1;Draginiai
4512-1;Dubriai
4942-1;Eternit Baltic
4532-1;Gailaičiai
4562-1;Gedvydžiai
4559-1;Gembutės
1624-1;Gendviliškės
4524-1;Greitjoniškis
4510-1;Griežiai
4531-1;Ivanauskai
4566-1;Jauneliškės
1670-1;Jautmalkiai
4529-1;Jučiai
4514-1;Kairiškiai
4511-1;Kalniškiai
